Citation Number,Citation Date,Citation Time,Day of the Week,Age,Race,Sex,Police Beat
YW341477,04/04/2031 12:00:00 AM,803,Fri,42,White,Female,
YW436498,08/08/2020 12:00:00 AM,1839,Sat,38,Asian,Female,
SE588873,03/22/2019 12:00:00 AM,908,Fri,55,White,Female,
SE588869,03/22/2019 12:00:00 AM,831,Fri,67,White,Female,
SE588925,03/22/2019 12:00:00 AM,1804,Fri,38,Black,Male,
SE588862,03/22/2019 12:00:00 AM,734,Fri,59,White,Male,
SE588922,03/22/2019 12:00:00 AM,1801,Fri,67,White,Female,
SE588924,03/22/2019 12:00:00 AM,1804,Fri,38,Black,Male,
SE588866,03/22/2019 12:00:00 AM,753,Fri,34,White,Female,
SE588912,03/22/2019 12:00:00 AM,1628,Fri,53,White,Female,
SE588931,03/22/2019 12:00:00 AM,1845,Fri,57,White,Male,
SE588885,03/22/2019 12:00:00 AM,1245,Fri,24,Black,Male,
SE588878,03/22/2019 12:00:00 AM,1124,Fri,57,White,Female,
SE588915,03/22/2019 12:00:00 AM,1636,Fri,45,White,Female,
SE588916,03/22/2019 12:00:00 AM,1648,Fri,18,White,Female,
SE588861,03/22/2019 12:00:00 AM,650,Fri,25,White,Female,
SE588934,03/22/2019 12:00:00 AM,2130,Fri,19,White,Female,
SE588864,03/22/2019 12:00:00 AM,751,Fri,28,Black,Male,
SE588904,03/22/2019 12:00:00 AM,1435,Fri,27,White,Female,
SE588868,03/22/2019 12:00:00 AM,818,Fri,46,White,Female,
SE588913,03/22/2019 12:00:00 AM,1636,Fri,47,Black,Male,
SE588923,03/22/2019 12:00:00 AM,1801,Fri,67,White,Female,
SE588867,03/22/2019 12:00:00 AM,819,Fri,30,White,Female,
SE588863,03/22/2019 12:00:00 AM,743,Fri,18,White,Male,
SE588875,03/22/2019 12:00:00 AM,1057,Fri,75,White,Male,
SE588874,03/22/2019 12:00:00 AM,1012,Fri,52,White,Male,
SE588888,03/22/2019 12:00:00 AM,1245,Fri,24,Black,Male,
SE588901,03/22/2019 12:00:00 AM,1511,Fri,70,White,Female,
SE588880,03/22/2019 12:00:00 AM,1152,Fri,76,White,Male,
SE588890,03/22/2019 12:00:00 AM,1425,Fri,63,White,Female,
SE588872,03/22/2019 12:00:00 AM,854,Fri,53,Black,Male,
SE588914,03/22/2019 12:00:00 AM,1636,Fri,47,Black,Male,
SE588911,03/22/2019 12:00:00 AM,1555,Fri,21,Black,Female,
SE588865,03/22/2019 12:00:00 AM,753,Fri,34,White,Female,
SE588889,03/22/2019 12:00:00 AM,1406,Fri,22,Black,Female,
SE588871,03/22/2019 12:00:00 AM,842,Fri,77,White,Male,
SE588927,03/22/2019 12:00:00 AM,1821,Fri,42,White,Male,
SE588900,03/22/2019 12:00:00 AM,1500,Fri,43,White,Female,
SE588870,03/22/2019 12:00:00 AM,838,Fri,56,White,Male,
SE588921,03/22/2019 12:00:00 AM,1752,Fri,38,White,Male,
SE588910,03/22/2019 12:00:00 AM,1555,Fri,21,Black,Female,
SE588881,03/22/2019 12:00:00 AM,1205,Fri,41,White,Male,
SE588884,03/22/2019 12:00:00 AM,1233,Fri,24,Black,Female,
SE588842,03/21/2019 12:00:00 AM,1605,Thu,21,Black,Male,
SE588828,03/21/2019 12:00:00 AM,1447,Thu,47,White,Male,
SE588835,03/21/2019 12:00:00 AM,1544,Thu,28,Black,Male,
SE588858,03/21/2019 12:00:00 AM,1839,Thu,32,White,Female,
SE588857,03/21/2019 12:00:00 AM,1829,Thu,18,White,Female,
SE588851,03/21/2019 12:00:00 AM,1737,Thu,21,Asian,Male,
SE588849,03/21/2019 12:00:00 AM,1640,Thu,26,White,Female,
SE588829,03/21/2019 12:00:00 AM,1458,Thu,64,White,Female,
SE588847,03/21/2019 12:00:00 AM,1630,Thu,19,White,Male,
SE588843,03/21/2019 12:00:00 AM,1615,Thu,49,Asian,Male,
SE588859,03/21/2019 12:00:00 AM,1850,Thu,24,White,Male,
SE588830,03/21/2019 12:00:00 AM,1506,Thu,39,White,Female,
SE588848,03/21/2019 12:00:00 AM,1630,Thu,30,White,Male,
SE588833,03/21/2019 12:00:00 AM,1532,Thu,50,White,Female,
SE588852,03/21/2019 12:00:00 AM,1752,Thu,22,White,Male,
SE588832,03/21/2019 12:00:00 AM,1521,Thu,72,White,Male,
SE588837,03/21/2019 12:00:00 AM,1554,Thu,48,White,Male,
SE588855,03/21/2019 12:00:00 AM,1813,Thu,18,White,Male,
SE588831,03/21/2019 12:00:00 AM,1513,Thu,39,Asian,Female,
SE588836,03/21/2019 12:00:00 AM,1554,Thu,48,White,Male,
SE588834,03/21/2019 12:00:00 AM,1531,Thu,62,Black,Female,
SE588846,03/21/2019 12:00:00 AM,1626,Thu,51,White,Male,
SE588854,03/21/2019 12:00:00 AM,1805,Thu,30,Black,Male,
SE588853,03/21/2019 12:00:00 AM,1759,Thu,39,White,Female,
SE588809,03/21/2019 12:00:00 AM,1136,Thu,66,White,Female,
SE588825,03/21/2019 12:00:00 AM,1432,Thu,45,,Female,
SE588798,03/21/2019 12:00:00 AM,1017,Thu,30,White,Male,
SE588812,03/21/2019 12:00:00 AM,1313,Thu,65,White,Male,
SE588800,03/21/2019 12:00:00 AM,1015,Thu,56,White,Male,
SE588803,03/21/2019 12:00:00 AM,1035,Thu,69,Black,Male,
SE588811,03/21/2019 12:00:00 AM,1143,Thu,38,White,Male,
SE588820,03/21/2019 12:00:00 AM,1348,Thu,34,Asian,Female,
SE588795,03/21/2019 12:00:00 AM,924,Thu,31,White,Male,
SE588823,03/21/2019 12:00:00 AM,1415,Thu,73,White,Male,
SE588826,03/21/2019 12:00:00 AM,1434,Thu,27,Black,Female,
SE588839,03/21/2019 12:00:00 AM,1610,Thu,57,White,Male,
SE588817,03/21/2019 12:00:00 AM,1332,Thu,78,White,Female,
SE588797,03/21/2019 12:00:00 AM,1000,Thu,30,White,Male,
SE588796,03/21/2019 12:00:00 AM,936,Thu,22,White,Female,
SE588802,03/21/2019 12:00:00 AM,1034,Thu,51,White,Female,
SE588860,03/21/2019 12:00:00 AM,1856,Thu,36,White,Female,
SE588827,03/21/2019 12:00:00 AM,1435,Thu,24,White,Female,
SE588807,03/21/2019 12:00:00 AM,1130,Thu,37,White,Male,
SE588794,03/21/2019 12:00:00 AM,915,Thu,55,White,Female,
SE588818,03/21/2019 12:00:00 AM,1338,Thu,24,White,Female,
SE588822,03/21/2019 12:00:00 AM,1401,Thu,42,White,Male,
SE588838,03/21/2019 12:00:00 AM,1554,Thu,48,White,Male,
SE588821,03/21/2019 12:00:00 AM,1353,Thu,65,White,Female,
SE588824,03/21/2019 12:00:00 AM,1415,Thu,73,White,Male,
SE588801,03/21/2019 12:00:00 AM,1035,Thu,69,Black,Male,
SE588841,03/21/2019 12:00:00 AM,1605,Thu,21,Black,Male,
SE588810,03/21/2019 12:00:00 AM,1136,Thu,53,White,Female,
SE588806,03/21/2019 12:00:00 AM,1120,Thu,54,White,Female,
SE588840,03/21/2019 12:00:00 AM,1605,Thu,21,Black,Male,
SE588805,03/21/2019 12:00:00 AM,1110,Thu,28,White,Male,
SE588814,03/21/2019 12:00:00 AM,1318,Thu,52,Asian,Male,
SE588815,03/21/2019 12:00:00 AM,1324,Thu,53,White,Female,
SE588808,03/21/2019 12:00:00 AM,1136,Thu,53,White,Female,
SE588850,03/21/2019 12:00:00 AM,1718,Thu,36,White,Male,
SE588844,03/21/2019 12:00:00 AM,1614,Thu,68,White,Male,
SE588816,03/21/2019 12:00:00 AM,1330,Thu,31,White,Female,
SE588819,03/21/2019 12:00:00 AM,1341,Thu,29,White,Male,
SE588804,03/21/2019 12:00:00 AM,1056,Thu,37,Black,Male,
SE588845,03/21/2019 12:00:00 AM,1626,Thu,51,White,Male,
SE588799,03/21/2019 12:00:00 AM,1017,Thu,30,White,Male,
SE588770,03/20/2019 12:00:00 AM,908,Wed,75,Asian,Male,
SE588774,03/20/2019 12:00:00 AM,953,Wed,33,White,Female,
SE588787,03/20/2019 12:00:00 AM,1325,Wed,41,White,Male,
SE588775,03/20/2019 12:00:00 AM,1052,Wed,48,White,Male,
SE588783,03/20/2019 12:00:00 AM,1258,Wed,19,Black,Male,
SE588773,03/20/2019 12:00:00 AM,941,Wed,43,White,Female,
SE588786,03/20/2019 12:00:00 AM,1258,Wed,18,Black,Male,
SE588771,03/20/2019 12:00:00 AM,915,Wed,27,White,Male,
SE588788,03/20/2019 12:00:00 AM,1331,Wed,24,Black,Male,
SE588769,03/20/2019 12:00:00 AM,841,Wed,61,White,Male,
SE588780,03/20/2019 12:00:00 AM,1217,Wed,19,White,Male,
SE588789,03/20/2019 12:00:00 AM,1632,Wed,61,White,Female,
SE588772,03/20/2019 12:00:00 AM,923,Wed,46,White,Male,
SE588779,03/20/2019 12:00:00 AM,1121,Wed,22,Black,Female,
SE588790,03/20/2019 12:00:00 AM,1700,Wed,34,White,Male,
SE588778,03/20/2019 12:00:00 AM,1121,Wed,22,Black,Female,
SE588792,03/20/2019 12:00:00 AM,1800,Wed,40,Asian,Male,
SE588793,03/20/2019 12:00:00 AM,1847,Wed,27,Asian,Male,
SE588777,03/20/2019 12:00:00 AM,1121,Wed,22,Black,Female,
SE588785,03/20/2019 12:00:00 AM,1258,Wed,19,Black,Male,
SE588781,03/20/2019 12:00:00 AM,1229,Wed,42,Black,Male,
SE588791,03/20/2019 12:00:00 AM,1743,Wed,44,White,Male,
SE588784,03/20/2019 12:00:00 AM,1258,Wed,19,Black,Male,
SE588782,03/20/2019 12:00:00 AM,1242,Wed,52,White,Female,
SE588746,03/19/2019 12:00:00 AM,1516,Tue,40,White,Male,
YE738734,03/19/2019 12:00:00 AM,1552,Tue,20,Black,Male,
SE588726,03/19/2019 12:00:00 AM,833,Tue,54,White,Male,
EV64524,03/19/2019 12:00:00 AM,800,Tue,39,Black,Male,73
SE588727,03/19/2019 12:00:00 AM,842,Tue,41,White,Female,
SE588753,03/19/2019 12:00:00 AM,1645,Tue,35,White,Male,
SE588744,03/19/2019 12:00:00 AM,1444,Tue,24,Asian,Male,
SE588720,03/19/2019 12:00:00 AM,728,Tue,54,White,Female,
SE588740,03/19/2019 12:00:00 AM,1322,Tue,30,Black,Female,
SE588767,03/19/2019 12:00:00 AM,1752,Tue,50,White,Male,
SE588758,03/19/2019 12:00:00 AM,1655,Tue,22,White,Male,
SE588759,03/19/2019 12:00:00 AM,1653,Tue,30,Black,Male,
SE588763,03/19/2019 12:00:00 AM,1730,Tue,26,Black,Male,
SE588741,03/19/2019 12:00:00 AM,1402,Tue,28,White,Female,
SE588765,03/19/2019 12:00:00 AM,1730,Tue,26,Black,Male,
YE943967,03/19/2019 12:00:00 AM,1734,Tue,61,,Male,
YE721036,03/19/2019 12:00:00 AM,1747,Tue,68,White,Female,
SE588716,03/19/2019 12:00:00 AM,652,Tue,50,White,Male,
YW436703,03/19/2019 12:00:00 AM,513,Tue,20,Black,Male,
SE588748,03/19/2019 12:00:00 AM,1549,Tue,61,White,Male,
SE588757,03/19/2019 12:00:00 AM,1653,Tue,30,Black,Male,
SE588764,03/19/2019 12:00:00 AM,1730,Tue,26,Black,Male,
SE588760,03/19/2019 12:00:00 AM,1653,Tue,30,Black,Male,
SE588743,03/19/2019 12:00:00 AM,1444,Tue,24,Asian,Male,
SE588735,03/19/2019 12:00:00 AM,1133,Tue,66,Black,Male,
YE944700,03/19/2019 12:00:00 AM,1725,Tue,38,Black,Male,
SE588756,03/19/2019 12:00:00 AM,1655,Tue,22,White,Male,
SE588762,03/19/2019 12:00:00 AM,1718,Tue,25,White,Male,
YE721035,03/19/2019 12:00:00 AM,1747,Tue,68,White,Female,
SE588766,03/19/2019 12:00:00 AM,1743,Tue,68,Black,Male,
SE588724,03/19/2019 12:00:00 AM,813,Tue,41,White,Female,
SE588731,03/19/2019 12:00:00 AM,1045,Tue,55,Black,Female,
SE588749,03/19/2019 12:00:00 AM,1555,Tue,41,White,Male,
SE588722,03/19/2019 12:00:00 AM,751,Tue,70,White,Male,
SE588725,03/19/2019 12:00:00 AM,823,Tue,45,White,Female,
SE588721,03/19/2019 12:00:00 AM,737,Tue,57,White,Male,
SE588734,03/19/2019 12:00:00 AM,1107,Tue,22,White,Female,
SE588747,03/19/2019 12:00:00 AM,1540,Tue,62,White,Male,
SE588736,03/19/2019 12:00:00 AM,1133,Tue,66,Black,Male,
SE588752,03/19/2019 12:00:00 AM,1648,Tue,44,Asian,Male,
SE588729,03/19/2019 12:00:00 AM,1045,Tue,55,Black,Female,
SE588719,03/19/2019 12:00:00 AM,713,Tue,59,Black,Male,
SE588742,03/19/2019 12:00:00 AM,1444,Tue,24,Asian,Male,
SE588723,03/19/2019 12:00:00 AM,801,Tue,51,White,Male,
SE588751,03/19/2019 12:00:00 AM,1633,Tue,70,White,Female,
SE588745,03/19/2019 12:00:00 AM,1509,Tue,56,White,Male,
SE588738,03/19/2019 12:00:00 AM,1155,Tue,36,Black,Male,
SE588732,03/19/2019 12:00:00 AM,1049,Tue,25,Black,Male,
SE588768,03/19/2019 12:00:00 AM,1802,Tue,30,White,Male,
SE588730,03/19/2019 12:00:00 AM,1045,Tue,55,Black,Female,
SE588717,03/19/2019 12:00:00 AM,653,Tue,43,White,Male,
SE588733,03/19/2019 12:00:00 AM,1049,Tue,25,Black,Male,
SE588728,03/19/2019 12:00:00 AM,1021,Tue,35,Black,Male,
SE588755,03/19/2019 12:00:00 AM,1643,Tue,24,White,Male,
SE588739,03/19/2019 12:00:00 AM,1322,Tue,30,Black,Female,
YW436705,03/19/2019 12:00:00 AM,513,Tue,20,Black,Male,
YW436702,03/19/2019 12:00:00 AM,513,Tue,20,Black,Male,
SE588761,03/19/2019 12:00:00 AM,1705,Tue,35,White,Male,
SE588750,03/19/2019 12:00:00 AM,1609,Tue,63,White,Female,
SE588754,03/19/2019 12:00:00 AM,1733,Tue,36,White,Male,
SE588737,03/19/2019 12:00:00 AM,1155,Tue,36,Black,Male,
SE588718,03/19/2019 12:00:00 AM,713,Tue,32,White,Male,
SE588715,03/18/2019 12:00:00 AM,2131,Mon,44,White,Male,
SE588699,03/18/2019 12:00:00 AM,934,Mon,31,Black,Female,
SE588710,03/18/2019 12:00:00 AM,1724,Mon,61,White,Male,
SE588687,03/18/2019 12:00:00 AM,817,Mon,77,White,Female,
SE588683,03/18/2019 12:00:00 AM,728,Mon,44,Asian,Female,
EV86230,03/18/2019 12:00:00 AM,1407,Mon,63,White,Female,74
SE588690,03/18/2019 12:00:00 AM,827,Mon,50,Black,Female,
SE588696,03/18/2019 12:00:00 AM,923,Mon,29,Black,Female,
SE588703,03/18/2019 12:00:00 AM,1136,Mon,60,White,Male,
SE588697,03/18/2019 12:00:00 AM,923,Mon,29,Black,Female,
SE588694,03/18/2019 12:00:00 AM,908,Mon,37,White,Male,
SE588702,03/18/2019 12:00:00 AM,1123,Mon,30,White,Male,
SE588711,03/18/2019 12:00:00 AM,1753,Mon,57,Asian,Female,
SE588692,03/18/2019 12:00:00 AM,853,Mon,33,Black,Female,
SE588708,03/18/2019 12:00:00 AM,1647,Mon,53,Black,Male,
SE588682,03/18/2019 12:00:00 AM,723,Mon,76,White,Male,
EV86229,03/18/2019 12:00:00 AM,1145,Mon,24,Unknown,Female,
SE588709,03/18/2019 12:00:00 AM,1724,Mon,61,White,Male,
SE588688,03/18/2019 12:00:00 AM,817,Mon,77,White,Female,
SE588712,03/18/2019 12:00:00 AM,1819,Mon,27,White,Male,
SE588705,03/18/2019 12:00:00 AM,1615,Mon,43,White,Female,
SE588686,03/18/2019 12:00:00 AM,803,Mon,48,White,Female,
SE588706,03/18/2019 12:00:00 AM,1632,Mon,44,Asian,Female,
SE588707,03/18/2019 12:00:00 AM,1632,Mon,44,Asian,Female,
EV81899,03/18/2019 12:00:00 AM,1835,Mon,26,White,Male,
SE588700,03/18/2019 12:00:00 AM,934,Mon,31,Black,Female,
SE588713,03/18/2019 12:00:00 AM,1819,Mon,27,White,Male,
SE588714,03/18/2019 12:00:00 AM,1844,Mon,34,Asian,Female,
SE588689,03/18/2019 12:00:00 AM,824,Mon,63,Black,Male,
SE588704,03/18/2019 12:00:00 AM,1143,Mon,42,White,Female,
EV87856,03/18/2019 12:00:00 AM,355,Mon,26,White,Female,
SE588685,03/18/2019 12:00:00 AM,752,Mon,32,Asian,Male,
SE588684,03/18/2019 12:00:00 AM,744,Mon,59,White,Male,
SE588693,03/18/2019 12:00:00 AM,853,Mon,33,Black,Female,
SE588691,03/18/2019 12:00:00 AM,824,Mon,33,Asian,Female,
SE588701,03/18/2019 12:00:00 AM,1116,Mon,72,White,Female,
YE944084,03/17/2019 12:00:00 AM,525,Sun,50,,Male,
SE588681,03/17/2019 12:00:00 AM,1850,Sun,25,White,Female,
SE588661,03/17/2019 12:00:00 AM,1551,Sun,37,Asian,Male,
EV84943,03/17/2019 12:00:00 AM,1044,Sun,37,Black,Male,
SE588660,03/17/2019 12:00:00 AM,1535,Sun,25,White,Male,
SE588668,03/17/2019 12:00:00 AM,1619,Sun,34,White,Male,
SE588664,03/17/2019 12:00:00 AM,1619,Sun,34,White,Male,
SE588666,03/17/2019 12:00:00 AM,1621,Sun,86,Black,Male,
SE588671,03/17/2019 12:00:00 AM,1737,Sun,62,White,Male,
SE588677,03/17/2019 12:00:00 AM,1821,Sun,55,White,Male,
SE588652,03/17/2019 12:00:00 AM,1432,Sun,44,White,Male,
SE588679,03/17/2019 12:00:00 AM,1832,Sun,67,White,Male,
SE588655,03/17/2019 12:00:00 AM,1450,Sun,41,White,Female,
SE588680,03/17/2019 12:00:00 AM,1844,Sun,31,Black,Male,
SE588675,03/17/2019 12:00:00 AM,1811,Sun,47,Black,Female,
SE588656,03/17/2019 12:00:00 AM,1450,Sun,41,White,Female,
SE588669,03/17/2019 12:00:00 AM,1659,Sun,35,White,Female,
SE588651,03/17/2019 12:00:00 AM,1432,Sun,44,White,Male,
SE588678,03/17/2019 12:00:00 AM,1828,Sun,42,White,Male,
SE588650,03/17/2019 12:00:00 AM,1412,Sun,61,White,Female,
SE588663,03/17/2019 12:00:00 AM,1607,Sun,73,White,Male,
SE588674,03/17/2019 12:00:00 AM,1757,Sun,28,Black,Female,
YE739555,03/17/2019 12:00:00 AM,629,Sun,53,Asian,Female,
SE588657,03/17/2019 12:00:00 AM,1457,Sun,57,White,Female,
YE944225,03/17/2019 12:00:00 AM,440,Sun,20,White,Male,71
SE588673,03/17/2019 12:00:00 AM,1757,Sun,28,Black,Female,
SE588658,03/17/2019 12:00:00 AM,1516,Sun,58,White,Female,
SE588667,03/17/2019 12:00:00 AM,1619,Sun,34,White,Male,
YE944226,03/17/2019 12:00:00 AM,440,Sun,20,White,Male,71
SE588653,03/17/2019 12:00:00 AM,1437,Sun,56,White,Male,
SE588676,03/17/2019 12:00:00 AM,1815,Sun,37,White,Male,
SE588672,03/17/2019 12:00:00 AM,1744,Sun,25,White,Female,
SE588662,03/17/2019 12:00:00 AM,1551,Sun,37,Asian,Male,
SE588659,03/17/2019 12:00:00 AM,1535,Sun,25,White,Male,
SE588649,03/17/2019 12:00:00 AM,1412,Sun,68,White,Male,
SE588670,03/17/2019 12:00:00 AM,1712,Sun,50,White,Female,
SE588648,03/17/2019 12:00:00 AM,1404,Sun,23,Asian,Male,
SE588665,03/17/2019 12:00:00 AM,1619,Sun,34,White,Male,
SE588654,03/17/2019 12:00:00 AM,1443,Sun,43,White,Male,
SE588624,03/16/2019 12:00:00 AM,1832,Sat,43,Black,Female,
SE588636,03/16/2019 12:00:00 AM,2241,Sat,21,White,Male,
EV87151,03/16/2019 12:00:00 AM,1144,Sat,26,Black,Male,78
SE588637,03/16/2019 12:00:00 AM,2249,Sat,25,White,Male,
SE588599,03/16/2019 12:00:00 AM,49,Sat,31,White,Male,
YE943963,03/16/2019 12:00:00 AM,1756,Sat,24,Black,Male,
SE588622,03/16/2019 12:00:00 AM,1800,Sat,70,White,Female,
SE588594,03/16/2019 12:00:00 AM,0,Sat,20,Asian,Female,
SE588626,03/16/2019 12:00:00 AM,1951,Sat,23,White,Male,
SE588602,03/16/2019 12:00:00 AM,124,Sat,25,White,Female,
SE588598,03/16/2019 12:00:00 AM,49,Sat,31,White,Male,
SE588629,03/16/2019 12:00:00 AM,1951,Sat,23,White,Male,
YE944618,03/16/2019 12:00:00 AM,1144,Sat,26,Black,Male,78
YE944617,03/16/2019 12:00:00 AM,1325,Sat,45,Black,Male,
SE588645,03/16/2019 12:00:00 AM,1110,Sat,32,White,Male,
SE588647,03/16/2019 12:00:00 AM,1110,Sat,32,White,Male,
SE588611,03/16/2019 12:00:00 AM,1631,Sat,39,Black,Male,
SE588627,03/16/2019 12:00:00 AM,1951,Sat,23,White,Male,
SE588605,03/16/2019 12:00:00 AM,1537,Sat,57,White,Female,
SE588640,03/16/2019 12:00:00 AM,2305,Sat,27,Black,Male,
YE943962,03/16/2019 12:00:00 AM,1756,Sat,24,Black,Male,
SE588614,03/16/2019 12:00:00 AM,1646,Sat,27,White,Male,
YE943964,03/16/2019 12:00:00 AM,1756,Sat,24,Black,Male,
SE588625,03/16/2019 12:00:00 AM,2029,Sat,30,White,Male,
SE588639,03/16/2019 12:00:00 AM,2302,Sat,26,White,Male,
SE588628,03/16/2019 12:00:00 AM,1951,Sat,23,White,Male,
SE588610,03/16/2019 12:00:00 AM,1617,Sat,62,White,Male,
YE943961,03/16/2019 12:00:00 AM,1756,Sat,24,Black,Male,
SE588630,03/16/2019 12:00:00 AM,1951,Sat,23,White,Male,
SE588601,03/16/2019 12:00:00 AM,114,Sat,61,White,Female,
SE588604,03/16/2019 12:00:00 AM,1333,Sat,41,White,Female,
SE588606,03/16/2019 12:00:00 AM,1535,Sat,25,White,Male,
SE588623,03/16/2019 12:00:00 AM,1813,Sat,31,White,Male,
SE588631,03/16/2019 12:00:00 AM,2134,Sat,56,Asian,Male,
SE588635,03/16/2019 12:00:00 AM,2241,Sat,21,White,Male,
SE588638,03/16/2019 12:00:00 AM,2250,Sat,25,White,Male,
SE588642,03/16/2019 12:00:00 AM,2310,Sat,28,White,Female,
SE588620,03/16/2019 12:00:00 AM,1751,Sat,79,Black,Male,
SE588600,03/16/2019 12:00:00 AM,100,Sat,28,Asian,Male,
SE588618,03/16/2019 12:00:00 AM,1730,Sat,30,White,Female,
SE588596,03/16/2019 12:00:00 AM,30,Sat,47,Black,Male,
SE588643,03/16/2019 12:00:00 AM,2336,Sat,63,White,Male,
SE588633,03/16/2019 12:00:00 AM,2241,Sat,21,White,Male,
SE588634,03/16/2019 12:00:00 AM,2241,Sat,21,White,Male,
SE588603,03/16/2019 12:00:00 AM,1327,Sat,41,White,Female,
SE588616,03/16/2019 12:00:00 AM,1703,Sat,43,White,Female,
SE588607,03/16/2019 12:00:00 AM,1535,Sat,25,White,Male,
SE588632,03/16/2019 12:00:00 AM,2202,Sat,19,Black,Male,
SE588617,03/16/2019 12:00:00 AM,1712,Sat,30,Asian,Male,
SE588621,03/16/2019 12:00:00 AM,1751,Sat,79,Black,Male,
SE588644,03/16/2019 12:00:00 AM,2336,Sat,63,White,Male,
SE588609,03/16/2019 12:00:00 AM,1550,Sat,21,White,Female,
SE588615,03/16/2019 12:00:00 AM,1654,Sat,28,White,Male,
SE588641,03/16/2019 12:00:00 AM,2321,Sat,22,Black,Female,
SE588608,03/16/2019 12:00:00 AM,1550,Sat,21,White,Female,
SE588612,03/16/2019 12:00:00 AM,1640,Sat,54,Black,Male,
SE588595,03/16/2019 12:00:00 AM,26,Sat,50,White,Male,
SE588597,03/16/2019 12:00:00 AM,49,Sat,64,White,Male,
SE588646,03/16/2019 12:00:00 AM,1110,Sat,32,White,Male,
SE588619,03/16/2019 12:00:00 AM,1747,Sat,53,White,Male,
SE588613,03/16/2019 12:00:00 AM,1645,Sat,18,White,Male,
SE588582,03/15/2019 12:00:00 AM,2232,Fri,18,Black,Male,
SE588571,03/15/2019 12:00:00 AM,2146,Fri,34,White,Male,
SE588581,03/15/2019 12:00:00 AM,2232,Fri,18,Black,Male,
SE588567,03/15/2019 12:00:00 AM,2133,Fri,55,Black,Male,
SE588592,03/15/2019 12:00:00 AM,2336,Fri,17,White,Female,
SE588580,03/15/2019 12:00:00 AM,2232,Fri,18,Black,Male,
SE588566,03/15/2019 12:00:00 AM,2133,Fri,55,Black,Male,
SE588564,03/15/2019 12:00:00 AM,2110,Fri,27,White,Male,
SE588589,03/15/2019 12:00:00 AM,2309,Fri,18,White,Male,
SE588579,03/15/2019 12:00:00 AM,2229,Fri,29,Black,Male,
SE588561,03/15/2019 12:00:00 AM,1947,Fri,50,White,Female,
SE588563,03/15/2019 12:00:00 AM,2030,Fri,22,White,Male,
SE588587,03/15/2019 12:00:00 AM,2255,Fri,21,White,Male,
SE588577,03/15/2019 12:00:00 AM,2208,Fri,31,White,Male,
SE588578,03/15/2019 12:00:00 AM,2230,Fri,23,White,Male,
SE588575,03/15/2019 12:00:00 AM,2208,Fri,21,White,Female,
SE588569,03/15/2019 12:00:00 AM,2145,Fri,21,White,Male,
SE588574,03/15/2019 12:00:00 AM,2208,Fri,31,White,Male,
SE588562,03/15/2019 12:00:00 AM,2007,Fri,32,Black,Female,
SE588593,03/15/2019 12:00:00 AM,2347,Fri,17,Black,Male,
SE588572,03/15/2019 12:00:00 AM,2155,Fri,60,White,Male,
SE588573,03/15/2019 12:00:00 AM,2208,Fri,25,White,Female,
SE588590,03/15/2019 12:00:00 AM,2311,Fri,29,Black,Female,
SE588591,03/15/2019 12:00:00 AM,2322,Fri,29,Black,Male,
SE588576,03/15/2019 12:00:00 AM,2208,Fri,21,White,Female,
SE588585,03/15/2019 12:00:00 AM,2255,Fri,21,White,Male,
SE588570,03/15/2019 12:00:00 AM,2145,Fri,21,White,Male,
SE588584,03/15/2019 12:00:00 AM,2250,Fri,42,Black,Female,
SE588588,03/15/2019 12:00:00 AM,2255,Fri,17,White,Male,
SE588568,03/15/2019 12:00:00 AM,2137,Fri,48,White,Male,
SE588583,03/15/2019 12:00:00 AM,2251,Fri,51,White,Female,
SE588586,03/15/2019 12:00:00 AM,2255,Fri,21,White,Male,
SE588565,03/15/2019 12:00:00 AM,2127,Fri,38,White,Male,
E202291,03/14/2019 12:00:00 AM,1550,Thu,28,Black,Male,
E202287,03/14/2019 12:00:00 AM,1522,Thu,50,White,Female,
E202297,03/14/2019 12:00:00 AM,1646,Thu,48,White,Female,
E202280,03/14/2019 12:00:00 AM,1446,Thu,41,White,Female,
EV87309,03/14/2019 12:00:00 AM,343,Thu,26,White,Male,71
EV87307,03/14/2019 12:00:00 AM,300,Thu,35,White,Female,71
EV87310,03/14/2019 12:00:00 AM,348,Thu,35,White,Male,71
EV87306,03/14/2019 12:00:00 AM,254,Thu,68,White,Male,71
SE588548,03/14/2019 12:00:00 AM,1617,Thu,25,Black,Male,
EV87372,03/14/2019 12:00:00 AM,1624,Thu,75,Black,Male,
E202295,03/14/2019 12:00:00 AM,1637,Thu,45,Black,Male,
SE588550,03/14/2019 12:00:00 AM,1620,Thu,73,Black,Male,
E202286,03/14/2019 12:00:00 AM,1511,Thu,52,White,Female,
SE588541,03/14/2019 12:00:00 AM,915,Thu,33,White,Female,
SE588538,03/14/2019 12:00:00 AM,847,Thu,60,White,Male,
SE588539,03/14/2019 12:00:00 AM,929,Thu,33,Black,Female,
E202283,03/14/2019 12:00:00 AM,1458,Thu,60,White,Male,
SE588537,03/14/2019 12:00:00 AM,833,Thu,33,White,Male,
SE588554,03/14/2019 12:00:00 AM,1654,Thu,55,White,Male,
SE588540,03/14/2019 12:00:00 AM,929,Thu,33,Black,Female,
SE588556,03/14/2019 12:00:00 AM,1701,Thu,35,Black,Female,
SE588557,03/14/2019 12:00:00 AM,1701,Thu,27,Black,Male,
